-tic,【形容词后缀】表示属于…的、有…性质的、与…有关的，与-ic同
-tion,【名词后缀】构成抽象名词，表示行为、行为的过程或结果、状态、情况，与-ion同
-ture,【名词后缀】亦作-ature和-iture 表示行为、行为的结果以及与行为有关之物
-ty,构成抽象名词，表示性质、情况、状态、权限
-ual,【形容词后缀】表示“…的”，与-al同
-ular,【形容词后缀】表示似…形状的、有…性质的、属于…的
-ule,【名词后缀】表示小
-ulous,【形容词后缀】表示易于…的、多…的、如…形状的、有…性质的、属于…的，同-ous
-um,【名词后缀】表示场所、实物及抽象名词
-uous,【形容词后缀】表示有…性质的、属于…的、有…的，同-ous
-ure,【名词后缀】构成抽象名词，表示行为、行为的结果、状态、情况
-ward,【形容词及副词后缀】表示“向…的”、“向…”、“朝…”
-wards,【副词后缀】表示“向…”、“朝…”
-ways,【副词后缀】有的兼作形容词后缀 表示方向、方式、状态，常与-wise通用
-wise,【副词后缀】有的兼作形容词后缀1.常与-ways通用，表示方向、方式、状态2.也有不与-ways通用者
-y,1.【形容词后缀】表示多…的、有…的、如…的、属于…的（大多数加在单音节名词之后）2.【名词后缀】构成抽象名词，表示性质、状态、情况、行为 表示人或物 
-yer,【名词后缀】表示人
