acerose,"adj.[植]细长的,针状的"
acerous,"adj.[动]无角的,无触须的"
acervate,"adj.[植]成堆生长的,簇生的"
acescent,adj.变酸的
acesodyne,"n.止痛,止痛药adj.止痛的"
acetabuliform,adj.碟状的
acetarious,"adj.凉拌用的,拌生菜食用的"
acetated,adj.[化]用醋酸处理过的
acetic,"adj.[化]醋的,乙酸的"
acetose,"adj.酸的,醋一样酸的"
acetous,"adj.产生醋酸的,酸的,有酸味的"
acetylic,adj.乙酰基群的
achaean,"adj.亚该亚的,希腊的;n.亚该亚人,希腊人"
achaetous,adj.[动]无刚毛的
achaian,adj.&n.=Achaean
acheulean,adj.[考古]阿舍利时期的
acheulian,adj.欧洲旧石器时代早期文化的
achievable,"adj.做得成的,可完成的,可有成就的"
achillean,"adj.阿基里斯的,勇敢的"
aching,"adj.痛的,疼痛的,心痛的"
achlamydeous,adj.[植]无花被的
achlorophyllous,adj.[植]无叶绿素的
achordate,adj.&n.[动]无脊索的(动物)
achromatic,"adj.消色差的,非彩色的"
achromatous,"adj.无色的,淡色的"
achromic,adj.色素缺乏的
achy,adj.疼痛的
acicular,"adj.针状的,针尖状的"
aciculate,"adj.有刺的,针状的,粗面的"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
acidfast,"adj.(结核菌)抗酸的,耐酸的"
acidic,"adj.酸的,酸性的"
acidimetric,adj.[化]酸量滴定的
acidimetrical,adj.[化]酸量滴定的
acidogenic,adj.引起酸化的
acidoid,adj.似酸的;n.可能变酸的物质
acidophil,"n.嗜酸细胞adj.嗜酸的;n.[医]嗜酸细胞,嗜酸细菌"
acidophilic,adj.嗜酸的
acidophilus,adj.(=acidophilic)嗜酸的
acidproof,adj.耐酸的
acidulated,"adj.带酸味的,不和气的,乖僻的"
acidulous,"adj.多少带酸味的,不悦的"
aciduric,adj.耐酸的
acidy,adj.有些酸味的
aciform,adj.尖如针的
acinaceous,adj.[植]多子的
acinacifoliate,adj.(=acinaciform) [植]弯刀状的
acinaciform,adj.[植]弯刀状的
acinar,adj.[解]腺泡的
aciniform,"adj.如成串葡萄状的,多小核的"
acknowiedged,"adj.公认的,得到普遍承认的,被普遍认可的"
acknowledged,adj.公认的
aclinic,"adj.无倾角的,水平的"
acneigenic,adj.[医]致痤疮的
acoelomate,adj.[动]无体腔的
acoelous,adj.[动]无体腔的
acold,adj.寒冷的
aconitic,"adj.[植]附子的,乌头的"
acopic,adj.消除疲乏的
acotyledonous,adj.无子叶的
acoustic,"adj.有关声音的,声学的,音响学的"
acoustical,"adj.听觉的,声学的"
acoustoelectric,"adj.[电子]声电学的,电声学的,声电的,电声的"
acquainted,"adj.有知识的,知晓的"
acquiescent,"adj.默许的,默从的"
acquirable,"adj.可得的,可获的"
acquired,"adj.已获得的,已成习惯的,后天通过自己的努力得到的"
acquisitive,"adj.想获得的,有获得可能性的,可学到的"
acranial,adj.缺颅骨的
acrawl,"adj.爬行的,拥挤的"
acred,adj.拥有许多地产的
acrid,"adj.辛辣的,(言语或语调)刻薄的"
acrimonious,"adj.严厉的,辛辣的"
acritical,"adj.(指疾病)不危急的,不危险的,无极期的"
acrobatic,"adj.杂技的,特技的"
acrocarpous,adj.[植]茎端结实的
acrocentric,adj.&n.[生](染色体)近端着丝(的)
acrodont,"adj.[解][动]边齿的,颌缘的"
acrodrome,adj.[植]脉向尖聚集的
acrodromous,adj.(=acrodrome)脉向尖聚集的
acrogenous,adj.顶生的
acromegalic,adj.肢端肥大症患者的;n.肢端肥大症患者
acronical,"adj.[天]日落时发生的,薄暮(发生)的"
acronichal,"adj.[天]日落时发生的,薄暮(发生)的"
acronymic,adj.关于首字母缩略字的
acronymous,adj.(=acronymic)关于首字母缩略字的
acropetal,adj.[植]向顶的
acrostic,n.离合诗adj.离合诗的
acrylic,adj.[化]丙烯酸的
actable,"adj.能实行的,能演出的,"
actinal,"adj.有触手的,口侧的"
acting,"adj.代理的,起作用的,演戏的"
actinian,"adj.海葵的,似海葵的"
actinic,"adj.[物]光化学的,有光化性的"
actiniform,adj.[动]放射形的
actinoid,adj.放射线状的
actinomorphic,"adj.放射状的,辐射对称的"
actinomorphous,"adj.(=actinomorphic)放射状的,幅射量的"
actinozoan,"n.珊瑚虫,花形虫adj.珊瑚虫的"
actionable,adj.可控告的
actionless,"adj.不采取行动的,静止不动的"
activable,adj.[化]能被活化的
activated,adj.有活性的
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子"
actorish,adj.不受演技优劣影响的(角色或剧本)
actual,"adj.实际的,真实的,现行的,目前的"
actualistic,adj.现实主义的
actuarial,"adj.保险精算师的,保险精算的"
acuate,"adj.尖的,锐利的"
aculeate,"adj.有刺的,一针见血的"
aculeated,"adj.(=aculeate)尖锐的,有刺的"
acuminate,"adj.锐利的,尖形的vt.使尖锐"
acuminous,"adj.锐利的,敏锐的"
acute,"adj.敏锐的,[医]急性的,剧烈"
acutilingual,"adj.[动]尖舌的,尖嘴的"
acyclic,"adj.非循环的,[化]无环的,脂肪族的"
adactylous,"adj.[动]无指的,无趾的,指趾全无的"
adagietto,adj.更缓慢的adv.更缓慢地
adagio,adv.缓慢地adj.缓慢的;n.[音乐]柔板
adagissimo,adj.很慢的adv.很慢地
adamant,adj.坚硬的
adamantine,"adj.非常坚硬的,坚定不移的;n.[冶]金刚合金"
adamic,adj.[圣经]亚当的
adaptable,"adj.能适应的,可修改的"
adapted,adj.适合的
adaptive,adj.适应的
adaxial,adj.近轴的
added,"adj.更多的,附加的,额外的"
addible,adj.可添加的
addicted,adj.沉溺于某种嗜好中的
addictive,adj.上瘾的
addisonian,adj.患有爱迪生氏病(即青铜色皮肤病)的
additional,"adj.另外的,附加的,额外的"
additive,"adj.附加的,加成的,添加的;n.添加剂adj.添加的,附加的,加法的"
additory,"adj.附加的,可添加的"
addle,"vt.使腐坏,使糊涂adj.腐坏的"
addlebrained,adj.=addlepated
addled,"adj.腐坏的,混乱的"
